tradingsymbol,ret_gap,stdretc2c90d,open_price,buy_price,quantity,buy_time,sell_price,sell_time,returns

FRETAIL,-0.045,0.03365040739857407,47.75,47.75,2094,2021-05-05 10:26:11,47.75,2021-05-05 15:29:00,0.0
FRETAIL,-0.039790575916230336,0.03365040739857407,45.85,46.4,307,2021-05-06 09:15:05,45.55,2021-05-06 15:29:00,-0.01831896551724141
GODREJAGRO,-0.030362389813907934,0.014225762040839246,495.0,495.4,197,2021-05-10 11:25:25,517.6,2021-05-10 15:29:01,0.04481
ALKYLAMINE,-0.5933008526187576,0.04017162991438656,3339.0,3343.95,5,2021-05-11 09:15:05,3644.3,2021-05-11 17:01:54,0.089818926718402
DCAL,-0.06989104437948448,0.03768193481104598,175.0,170.6,586,2021-05-12 12:36:29,164.4,2021-05-12 15:29:00,-0.0363423212192262
ADANITRANS,-0.04145530872835411,0.036254877686768036,1096.0,1113.95,14,2021-05-17 09:15:05,1200.55,2021-05-17 15:29:00,0.07774137079761202
AARTIDRUGS,-0.03906544403969353,0.02479395920271087,765.0,749.9,22,2021-05-17 09:15:05,754.0,2021-05-17 15:29:00,0.005467395652753731
OFSS,-0.03252254714402842,0.01989201169552129,3540.0,3540.0,4,2021-05-17 09:15:05,3525.35,2021-05-17 15:29:00,-0.004138418079096071
MAHSEAMLES,-0.030109015400588298,0.018394188302725923,280.25,280.25,59,2021-05-17 09:15:05,300.0,2021-05-17 15:29:00,0.0704727921498662
GRSE,-0.022905027932960863,0.021237781493703173,174.9,173.8,575,2021-05-18 09:15:06,177.9,2021-05-18 15:29:00,0.023590333716915962
TATAMTRDVR,-0.04385097263435546,0.03442400087481776,145.0,145.45,229,2021-05-19 09:15:05,149.5,2021-05-19 15:29:00,0.027844620144379592
UJJIVAN,-0.036537118920176845,0.022690053661832375,207.0,209.0,159,2021-05-19 09:15:05,209.45,2021-05-19 15:29:00,0.0021531100478468356
PIIND,-0.03623389861921972,0.023664931263181876,2600.0,2600.0,12,2021-05-19 09:15:05,2574.0,2021-05-19 15:29:00,-0.01
IRCON,-0.4948453608247423,0.02683329745005536,49.0,49.5,2020,2021-05-20 09:15:05,51.25,2021-05-20 15:29:00,0.03535353535353535
MCX,-0.043003095975232226,0.01774710423725486,1545.55,1545.55,64,2021-05-24 09:15:05,1587.0,2021-05-24 16:40:22,0.02681893177186118
AMARAJABAT,-0.021443379113759983,0.016862041506132193,755.25,748.95,13,2021-05-25 09:15:06,734.85,2021-05-25 15:29:00,-0.018826356899659554
AKZOINDIA,-0.01784718349135527,0.01732394944557832,2201.25,2259.95,4,2021-05-25 09:15:06,2251.0,2021-05-25 15:29:00,-0.003960264607623982
FDC,-0.020895522388059702,0.020666434713524112,328.0,328.0,234,2021-05-27 09:33:50,329.15,2021-05-27 15:32:39,0.0035060975609755404
HEG,-0.05565068493150685,0.050716285302074705,2206.0,2243.05,164,2021-05-28 09:15:05,2182.8,2021-05-28 15:12:24,-0.02686074764271862
